,Income Statement Trending Detail - GGM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/1/2025 to 6/30/2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Include Closing Periods: NO,,,,,,,,,,,,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allure of Mendota,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 25_Actual $,July 25_Actual / Day,August 25_Actual $,August 25_Actual / Day,September 25_Actual $,September 25_Actual / Day,October 25_Actual $,October 25_Actual / Day,November 25_Actual $,November 25_Actual / Day,December 25_Actual $,December 25_Actual / Day,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
TOTAL Food & Nutrition,"43,887",21.49,"45,246",21.79,"41,309",20.85,"43,890",21.42,"44,096",20.04,"45,859",21.42,"48,593",22.6,"41,428",21.91,"46,090",22.54,"46,275",24.3,"46,623",22.45,"45,538",22.25,"538,834",21.9
Employee Welfare Costs,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Taxes,"25,656",12.56,"27,641",13.31,"24,266",12.25,"25,459",12.43,"26,571",12.08,"31,765",14.84,"28,130",13.08,"23,161",12.25,"20,396",9.97,"23,100",12.13,"25,075",12.07,"24,908",12.17,"306,128",12.44
   Workmans Comp Insurance,"2,473",1.21,"1,649",0.79,"1,633",0.82,"1,633",0.8,"1,633",0.74,"3,722",1.74,"3,055",1.42,"1,633",0.86,"2,671",1.31,"1,633",0.86,"1,617",0.78,"1,633",0.8,"24,986",1.02
   Employee Benefits,130,0.06,-808,-0.39,300,0.15,"8,337",4.07,"5,364",2.44,131,0.06,"1,436",0.67,40,0.02,140,0.07,868,0.46,"6,862",3.3,"-6,523",-3.19,"16,277",0.66
   Employee Insurance,"5,400",2.64,"15,217",7.33,"14,674",7.41,"30,196",14.74,"14,850",6.75,"9,006",4.21,"13,930",6.48,"15,651",8.28,"11,782",5.76,"14,326",7.52,"13,336",6.42,"14,403",7.04,"172,771",7.02
   Education & Seminars,0,0,450,0.22,383,0.19,0,0,415,0.19,0,0,0,0,0,0,0,0,0,0,600,0.29,0,0,"1,848",0.08
   Pension,"1,222",0.6,"2,372",1.14,"2,596",1.31,"4,458",2.18,0,0,484,0.23,"2,399",1.12,-386,-0.2,"5,471",2.68,"2,321",1.22,"-4,227",-2.04,"9,170",4.48,"25,879",1.05
TOTAL Employee Welfare Costs,"34,882",17.08,"46,521",22.41,"43,852",22.14,"70,082",34.2,"48,833",22.2,"45,108",21.07,"48,950",22.77,"40,100",21.21,"40,459",19.78,"42,247",22.19,"43,262",20.83,"43,591",21.3,"547,888",22.27
General & Administrative,,,,,,,,,,,,,,,,,,,,,,,,,,
   Payroll Administrative,"9,103",4.46,"10,447",5.03,"9,151",4.62,"13,475",6.58,"10,121",4.6,"30,830",14.4,"10,093",4.69,"11,090",5.86,"12,002",5.87,"11,414",5.99,"27,769",13.37,"10,930",5.34,"166,426",6.76
