original_filename,operator,detail,dest_path,size_bytes
312c30f2-Tuscola_T12__Budget_07.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/312c30f2-Tuscola_T12__Budget_07.2025.xlsx,55721
31bc6397-Bridgeport_T12__Budget_03.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/31bc6397-Bridgeport_T12__Budget_03.2026.xlsx,63855
32f2b992-Bement_T12__Budget_06.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/32f2b992-Bement_T12__Budget_06.2025.xlsx,55261
34637c24-Farmer_City_T12__Budget_08.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/34637c24-Farmer_City_T12__Budget_08.2025.xlsx,63953
355bd3c4-Petersen_Breese_PL_June_26.xlsx,Evercare,Petersen 4-Pack by-tab workbook (Evercare),data/raw/evercare/355bd3c4-Petersen_Breese_PL_June_26.xlsx,62656
3588af12-Lincoln_Income_Statement__by_Facility_Preliminary_12.31.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/3588af12-Lincoln_Income_Statement__by_Facility_Preliminary_12.31.25.xlsx,20666
37d340b6-2025_YE_Walnut_Combined_Financial_Statements.xlsx,Allure,Income Statement Trending Detail - GGM,data/raw/allure/37d340b6-2025_YE_Walnut_Combined_Financial_Statements.xlsx,285471
3a6a7bcf-Meadowbrook_T12__Budget_12.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/3a6a7bcf-Meadowbrook_T12__Budget_12.2025.xlsx,62339
3b331fb8-Peterson_Financials_Jan26_by_Tab.xlsx,Evercare,Petersen 4-Pack by-tab workbook (Evercare),data/raw/evercare/3b331fb8-Peterson_Financials_Jan26_by_Tab.xlsx,53859
3bfc40e4-Bridgeport_T12__Budget_04.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/3bfc40e4-Bridgeport_T12__Budget_04.2025.xlsx,38831
40024af8-Bridgeport_T12__Budget_04.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/40024af8-Bridgeport_T12__Budget_04.2026.xlsx,64483
40f26547-South_Elgin_PL_063026.xlsm,Lineage,Facility PL export (.xlsm),data/raw/lineage/40f26547-South_Elgin_PL_063026.xlsm,335572
42f4fbcf-Meadowbrook_T12__Budget_vs_Actual_02.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/42f4fbcf-Meadowbrook_T12__Budget_vs_Actual_02.2025.xlsx,41340
4473bb53-Meadowbrook_T12__Budget_11.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/4473bb53-Meadowbrook_T12__Budget_11.2025.xlsx,62460
4477490d-Arcola_Balance_Sheet_12.2024.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/4477490d-Arcola_Balance_Sheet_12.2024.xlsx,19582
447c0034-Arcola_T12__Budget_vs_Actual_03.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/447c0034-Arcola_T12__Budget_vs_Actual_03.2025.xlsx,44584
46d8011b-202607_Aliya_of_Glenwood.xlsx,Aliya,ALIYA HEALTHCARE CONSULTING LLC multi-sheet workbook (Balance Sheet + P&L Trailing YTD Detailed),data/raw/aliya/46d8011b-202607_Aliya_of_Glenwood.xlsx,96663
49561c3b-St_Elmo_T12__Budget_12.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/49561c3b-St_Elmo_T12__Budget_12.2025.xlsx,59307
4a6680dd-St_Elmo_T12__Budget_06.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/4a6680dd-St_Elmo_T12__Budget_06.2026.xlsx,64196
4e03cd69-Bement_T12__Budget_04.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/4e03cd69-Bement_T12__Budget_04.2026.xlsx,61132
4fb0a54b-Tuscola_T12__Budget_06.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/4fb0a54b-Tuscola_T12__Budget_06.2026.xlsx,62543
50dc3bee-09.30.25_Petersen_Financial_Statements_-_MTD_Only.xls,Curis,Petersen Group consolidated statement,data/raw/curis/50dc3bee-09.30.25_Petersen_Financial_Statements_-_MTD_Only.xls,100517
5138292f-Lincoln_Income_Statement__by_Facility_Preliminary_6.30.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/5138292f-Lincoln_Income_Statement__by_Facility_Preliminary_6.30.25.xlsx,15175
553f9ca3-Farmer_City_T12__Budget_12.2024.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/553f9ca3-Farmer_City_T12__Budget_12.2024.xlsx,36152
55624929-Lincoln_Income_Statement__by_Facility_Preliminary_3.31.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/55624929-Lincoln_Income_Statement__by_Facility_Preliminary_3.31.25.xlsx,18726
